a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135833494,.066474685,  -0.014874237963549,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136541611,.070104455,  -0.014879517562590,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136210999,.069014556,  -0.014897153673200,24287.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138216296,.067649184,  -0.014891635796660,40176.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137675317,.069579279,  -0.014890572292066,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137474026,.067410822,  -0.014892554965339,44366.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137359369,.068215124,  -0.014900231668006,15120.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138847459,.069719231,  -0.014882271992784,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136100849,.067331560,  -0.014892700034918,16949.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.132707895,.067593558,  -0.014860423825177,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138373996,.068698433,  -0.014895586440219,98051.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136581028,.068502117,  -0.014900974359781, 2166.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137573588,.068308946,  -0.014899812772721, 7971.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138712487,.068914386,  -0.014892228322504,23168.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138297194,.070243526,  -0.014874795602783,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138921416,.067753185,  -0.014886746510577,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136666038,.070526339,  -0.014868254607957,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137720630,.067235417,  -0.014888507854541,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138338139,.069006038,  -0.014894308646762,94344.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137814608,.068508065,  -0.014899003442846,53014.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137442949,.067630449,  -0.014895612632946,28913.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137530885,.066968794,  -0.014884223963395,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136878847,.067178432,  -0.014890439403950,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136840741,.069059706,  -0.014898030823374,77184.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136522294,.067728092,  -0.014898042725925,70933.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137681293,.068748646,  -0.014898960606646,19769.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134662681,.069589998,  -0.014877238285983,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137306939,.067318134,  -0.014891735718236,40447.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137877098,.067535579,  -0.014892356545810,12750.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136936121,.069447722,  -0.014893325298520,34355.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135391907,.066455470,  -0.014872168873775,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135518630,.067998424,  -0.014896734057952, 6249.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137480735,.068834571,  -0.014899145267946,43873.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136074107,.069152613,  -0.014895143767881,96209.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133396518,.067491096,  -0.014871237358776,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135401279,.067502146,  -0.014892191252566,32751.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135960721,.067256454,  -0.014891219764576,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137190939,.069466888,  -0.014893057940452,10159.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137311212,.066950637,  -0.014884783345636,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135464547,.068527951,  -0.014896620826317,22956.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138305894,.067570010,  -0.014889944411290,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138484006,.069756629,  -0.014884115288474,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137207663,.066948115,  -0.014885101930156,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139763542,.067375099,  -0.014870773034967,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136785436,.067454270,  -0.014894878329599,89482.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138639007,.069035377,  -0.014892034957261,38338.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138072738,.068550294,  -0.014897692553400,49348.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136409420,.068142538,  -0.014900495524927, 9731.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136520005,.066584562,  -0.014877806198918,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.142891828,.068266370,  -0.014818106508914,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136969205,.068320879,  -0.014901127149887,81748.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136629604,.067844257,  -0.014899082529331,94494.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139021221,.068688156,  -0.014890327501550,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137943935,.067290768,  -0.014888169889280,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139069531,.068048890,  -0.014888030693430,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138267165,.068336079,  -0.014896347082532,22236.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135718616,.066883816,  -0.014883681946441,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137268200,.070138179,  -0.014879813219344,*******
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137367375,.069270802,  -0.014895526411375,20089.0
