a,b,c,d,e,f,g,h,x1,x2,y,calls
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136478490,.068269901,  -0.014900891173085,                72.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137111203,.067662558,  -0.014896942253954,                75.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136058260,.069200522,  -0.014894494952816,                79.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135721795,.068954245,  -0.014895467042539,                73.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136977612,.067295467,  -0.014892248590333,               110.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137982256,.068383738,  -0.014898138197067,                76.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137227614,.069302842,  -0.014895297076548,                56.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137217183,.067834525,  -0.014898371679110,               106.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136024382,.068206016,  -0.014899668461881,                71.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138185272,.069361653,  -0.014891704794355,                94.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138345736,.067767274,  -0.014892041713134,               177.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136866460,.067237457,  -0.014891480275910,               706.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137591011,.068814638,  -0.014898946833780,               538.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136811319,.069163038,  -0.014896940753631,               198.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.134968498,.068441455,  -0.014893130674673,               127.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138481194,.069115733,  -0.014892525383428,              1334.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137298708,.067707157,  -0.014896943075878,                80.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135169925,.067870403,  -0.014893869679189,               180.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138200549,.068376684,  -0.014896862394902,               155.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135896455,.068975175,  -0.014896201253043,                92.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136338133,.067266941,  -0.014892090475189,               117.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136901273,.069360703,  -0.014894554487225,                63.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138835320,.068208316,  -0.014891344837466,               515.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136478701,.069504478,  -0.014891644521880,                97.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137752528,.068820431,  -0.014898366737623,               327.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138556074,.068860506,  -0.014893701161819,               462.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137855273,.067674140,  -0.014894224746651,               292.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135448956,.068804890,  -0.014895005946039,                83.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135019641,.067663627,  -0.014891277797221,               115.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.134779443,.067983471,  -0.014891236036658,                97.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136113258,.068745213,  -0.014898889767712,               181.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138645968,.068990280,  -0.014892292776964,               118.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135653113,.069210890,  -0.014892185794195,                86.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136318046,.067243555,  -0.014891695171076,                85.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137439137,.067318417,  -0.014891249379056,               381.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138539233,.068402491,  -0.014894524930000,                49.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138741931,.068897632,  -0.014892079289984,               453.0
