a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.078447970,  -0.003922207849378,  526.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.074905554,  -0.003922008034926,   16.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075185021,  -0.003924929817970,  290.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075245003,  -0.003925490635902,  477.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076715368,  -0.003932000942958,   80.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075453761,  -0.003927260503468,  680.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.074952574,  -0.003922535271385,  195.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076347462,  -0.003931666375105,  164.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075768746,  -0.003929397958837,  311.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076541835,  -0.003931949846251,  471.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076255355,  -0.003931448311009,  574.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077286314,  -0.003930832718365,  536.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075320351,  -0.003926162015070,  216.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.074967604,  -0.003922700757139,  503.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077875512,  -0.003927497122786,   70.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077077667,  -0.003931496440766,  152.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075270965,  -0.003925726127917,  696.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075899605,  -0.003930098289644, 1146.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.075614964,  -0.003928434305716,  247.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.077913786,  -0.003927206204493,    3.0
 10.00,  0.10,  0.10,  0.10,  0.90,  0.90,  0.90,  0.90,.076164526,  -0.003931180411636,  122.0
